ppn,,4,4,4,4,8,8,8,8
nodes,,4,8,16,32,4,8,16,32
90%,solver duration (s),0.9,1.0,1.5,1.4,1.0,1.1,1.7,—
90%,Δ cpu util (%),2.7,3.0,3.3,-2.8,1.6,0.8,0.3,—
90%,Δ mem util (%),2.5,3.2,3.0,-2.8,1.5,0.9,0.2,—
95%,solver duration (s),0.9,1.1,1.6,1.4,1.0,1.2,1.7,1.3
95%,Δ cpu util (%),2.2,3.3,2.8,-3.1,2.2,2.7,0.4,-1.4
95%,Δ mem util (%),2.4,3.0,3.1,-3.1,2.4,2.7,0.4,-1.5
100%,solver duration (s),0.9,1.2,1.6,1.3,1.0,1.6,1.6,1.3
100%,Δ cpu util (%),2.4,2.8,1.7,-3.2,1.8,2.7,-0.3,-1.5
100%,Δ mem util (%),1.9,2.4,1.5,-3.2,1.9,2.5,-0.6,-1.7
105%,solver duration (s),0.9,1.2,1.5,1.3,1.1,1.6,1.7,1.3
105%,Δ cpu util (%),2.2,2.5,0.9,-3.8,2.4,1.9,-0.7,-1.5
105%,Δ mem util (%),1.7,2.0,1.2,-3.1,2.4,2.5,-1.4,-1.9
