wall_time_s,sim_time_s,cpu_run_util,mem_run_util,running_count,unsched_count,prio1_run_time_s,prio2_run_time_s,prio3_run_time_s,prio4_run_time_s
2.007,2.040,0.024063,0.056259,0,0,0.000000,0.000000,0.000000,0.000000
5.194,5.226,0.024063,0.056259,5,0,0.000000,0.000000,6.372810,9.559215
8.202,8.235,0.024063,0.056259,5,0,0.000000,0.000000,12.389501,18.584251
11.166,11.199,0.024063,0.056259,5,0,0.000000,0.000000,18.318223,27.477334
14.023,14.056,0.024063,0.056259,5,0,0.000000,0.000000,24.032109,36.048164
16.990,17.023,0.019375,0.052846,5,0,0.000000,0.000000,29.966206,44.949309
20.070,20.103,0.019375,0.052846,4,0,0.000000,0.000000,36.125590,51.108693
23.221,23.254,0.019375,0.052846,4,0,0.000000,0.000000,42.428349,57.411452
26.044,26.076,0.019375,0.052846,4,0,0.000000,0.000000,48.072626,63.055729
28.689,28.721,0.019375,0.052846,4,0,0.000000,0.000000,53.362503,68.345606
31.608,31.640,0.012750,0.035841,4,0,0.000000,0.000000,59.200898,74.184001
34.526,34.558,0.012750,0.035841,2,0,0.000000,0.000000,65.036946,74.184001
37.538,37.571,0.012750,0.035841,2,0,0.000000,0.000000,71.061931,74.184001
40.517,40.549,0.012750,0.035841,2,0,0.000000,0.000000,77.018676,74.184001
43.488,43.520,0.000000,0.000000,0,0,0.000000,0.000000,77.018676,74.184001
46.437,46.469,0.000000,0.000000,0,0,0.000000,0.000000,77.018676,74.184001
49.710,49.742,0.000000,0.000000,0,0,0.000000,0.000000,77.018676,74.184001
52.841,52.873,0.000000,0.000000,0,0,0.000000,0.000000,77.018676,74.184001
56.002,56.035,0.000000,0.000000,0,0,0.000000,0.000000,77.018676,74.184001
58.752,58.784,0.000000,0.000000,0,0,0.000000,0.000000,77.018676,74.184001
61.508,61.540,0.008250,0.008743,0,0,0.000000,0.000000,77.018676,74.184001
64.029,64.062,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,79.227021
66.694,66.727,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,84.557575
69.437,69.469,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,90.042513
72.058,72.091,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,95.285857
75.225,75.257,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,101.618886
78.184,78.216,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,107.536882
81.133,81.165,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,113.434125
83.840,83.872,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,118.848562
86.400,86.432,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,123.968150
89.105,89.137,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,129.377959
91.726,91.758,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,134.620300
94.712,94.745,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,140.593117
97.526,97.559,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,146.221626
100.707,100.739,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,152.582619
103.849,103.881,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,158.866372
106.813,106.846,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,164.795621
109.664,109.696,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,170.496823
112.555,112.587,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,176.278309
115.295,115.327,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,181.758050
118.664,118.697,0.008250,0.008743,2,0,0.000000,0.000000,77.018676,188.497848
121.835,121.867,0.083687,0.062817,2,0,0.000000,0.000000,77.018676,194.838606
124.925,124.957,0.083687,0.062817,8,0,9.269825,3.089942,77.018676,207.198373
127.959,127.991,0.083687,0.062817,8,0,18.371172,6.123724,77.018676,219.333502
131.066,131.098,0.083687,0.062817,8,0,27.693277,9.231092,77.018676,231.762975
133.834,133.867,0.008250,0.008743,7,0,35.998319,9.231092,77.018676,242.836365
136.932,136.964,0.008250,0.008743,2,0,35.998319,9.231092,77.018676,249.031582
139.924,139.957,0.008250,0.008743,2,0,35.998319,9.231092,77.018676,255.016249
142.643,142.675,0.008250,0.008743,2,0,35.998319,9.231092,77.018676,260.453678
